,day,dayofweek,hourofday,month,year,TemperatureF,Dew PointF,Humidity,Sea Level PressureIn,VisibilityMPH,Wind SpeedMPH
77,4,0,5,1,2010,19.9,8.1,60,29.69,10,10.4
78,4,0,6,1,2010,19.9,9,62,29.69,10,11.5
79,4,0,7,1,2010,19.9,9,62,29.71,10,11.5
80,4,0,8,1,2010,21,9,60,29.73,10,9.2
81,4,0,9,1,2010,23,9,55,29.73,10,11.5
82,4,0,10,1,2010,24.1,10,55,29.71,10,10.4
83,4,0,11,1,2010,27,10,49,29.68,10,13.8
84,4,0,12,1,2010,28.9,10.9,47,29.67,10,11.5
85,4,0,13,1,2010,30,10.9,45,29.66,10,10.4
86,4,0,14,1,2010,28.9,12,49,29.67,10,11.5
87,4,0,15,1,2010,28.9,12,49,29.69,10,5.8
88,4,0,16,1,2010,28,12,51,29.7,10,9.2
89,4,0,17,1,2010,26.1,10.9,53,29.72,10,12.7
90,4,0,18,1,2010,24.1,10.9,57,29.73,10,8.1
91,4,0,19,1,2010,24.1,10,55,29.74,10,8.1
92,4,0,20,1,2010,23,10,58,29.74,10,8.1
93,4,0,21,1,2010,21.9,9,58,29.75,10,12.7
94,4,0,22,1,2010,21.9,9,58,29.75,10,10.4
95,4,0,23,1,2010,21,10,63,29.75,10,12.7
96,5,1,0,1,2010,21,10,63,29.73,10,5.8
97,5,1,1,1,2010,21,10,63,29.73,10,9.2
98,5,1,2,1,2010,21,10,63,29.74,10,4.6
99,5,1,3,1,2010,21,9,60,29.74,10,10.4
100,5,1,4,1,2010,21.9,9,58,29.74,10,10.4
101,5,1,5,1,2010,21,10,63,29.74,10,8.1
102,5,1,6,1,2010,21,10.9,65,29.74,10,8.1
103,5,1,7,1,2010,21.9,10.9,63,29.75,10,10.4
104,5,1,8,1,2010,23,12,63,29.75,10,11.5
105,5,1,9,1,2010,25,12,58,29.75,10,10.4
106,5,1,10,1,2010,27,12.9,56,29.74,10,11.5
107,5,1,11,1,2010,28,14,56,29.71,10,9.2
108,5,1,12,1,2010,28.9,14,54,29.69,10,11.5
109,5,1,13,1,2010,28.9,12.9,51,29.68,10,10.4
110,5,1,14,1,2010,30,12.9,49,29.67,10,10.4
111,5,1,15,1,2010,30,12.9,49,29.68,10,9.2
112,5,1,16,1,2010,28.9,12.9,51,29.67,10,9.2
113,5,1,17,1,2010,28,12.9,53,29.68,10,12.7
114,5,1,18,1,2010,27,12.9,56,29.7,10,9.2
115,5,1,19,1,2010,27,12.9,56,29.7,10,10.4
116,5,1,20,1,2010,27,12.9,56,29.7,10,9.2
117,5,1,21,1,2010,27,12,53,29.7,10,15
118,5,1,22,1,2010,27,12.9,56,29.71,10,10.4
119,5,1,23,1,2010,26.1,12,55,29.7,10,8.1
120,6,2,0,1,2010,26.1,12,55,29.7,10,6.9
121,6,2,1,1,2010,26.1,12,55,29.7,10,9.2
122,6,2,2,1,2010,26.1,12.9,58,29.7,10,5.8
123,6,2,3,1,2010,26.1,12.9,58,29.68,10,9.2
124,6,2,4,1,2010,26.1,14,60,29.68,10,3.5
125,6,2,5,1,2010,26.1,15.1,63,29.69,10,11.5
126,6,2,6,1,2010,26.35,15.45,63.5,29.715,10,9.8
127,6,2,7,1,2010,27,14,58,29.73,10,10.4
128,6,2,8,1,2010,27,14,58,29.73,10,11.5
129,6,2,9,1,2010,28.9,14,54,29.73,10,15
130,6,2,10,1,2010,30,14,51,29.71,10,11.5
131,6,2,11,1,2010,30.9,15.1,52,29.69,10,5.8
132,6,2,12,1,2010,32,15.1,50,29.68,10,8.1
133,6,2,13,1,2010,33.1,15.1,48,29.67,10,6.9
134,6,2,14,1,2010,34,15.1,46,29.68,10,11.5
135,6,2,15,1,2010,32,14,48,29.7,10,16.1
136,6,2,16,1,2010,30.9,14,50,29.73,10,6.9
137,6,2,17,1,2010,30,15.1,54,29.74,10,10.4
138,6,2,18,1,2010,30,16,56,29.75,10,8.1
139,6,2,19,1,2010,28.9,17.1,61,29.75,10,8.1
140,6,2,20,1,2010,28.9,18,64,29.77,10,10.4
141,6,2,21,1,2010,28.65,17.8,64,29.785,10,13.8
142,6,2,22,1,2010,28.9,19,67,29.79,10,11.5
143,6,2,23,1,2010,30,19,64,29.78,10,6.9
144,7,3,0,1,2010,30,19,64,29.78,10,6.9
145,7,3,1,1,2010,30,19,64,29.79,10,6.9
146,7,3,2,1,2010,30.1,19.65,65,29.81,10,11.5
147,7,3,3,1,2010,30.1,20.2,66.5,29.825,10,8.65
148,7,3,4,1,2010,30,21,69,29.83,10,11.5
149,7,3,5,1,2010,30.1,21.1,69,29.845,10,8.1
150,7,3,6,1,2010,30,21,69,29.86,10,12.7
151,7,3,7,1,2010,30,21,69,29.87,10,9.2
152,7,3,8,1,2010,30.9,21.9,69,29.89,10,6.9
153,7,3,9,1,2010,32.55,21.55,64,29.915,10,7.5
154,7,3,10,1,2010,33.9,21.55,60.5,29.92,10,10.35
155,7,3,11,1,2010,35.1,21,57,29.88,10,16.1
156,7,3,12,1,2010,36,21.9,57,29.87,10,9.2
157,7,3,13,1,2010,37,21.9,54,29.86,10,10.4
158,7,3,14,1,2010,37,21.9,54,29.86,10,11.5
159,7,3,15,1,2010,37,21.9,54,29.87,10,10.4
160,7,3,16,1,2010,36,21.9,57,29.88,10,9.2
161,7,3,17,1,2010,35.1,23,61,29.89,10,9.2
162,7,3,18,1,2010,34,21.9,61,29.88,10,8.1
163,7,3,19,1,2010,34,21.9,61,29.88,10,8.1
164,7,3,20,1,2010,34,23,64,29.87,10,4.6
165,7,3,21,1,2010,33.1,21.9,64,29.86,10,5.8
166,7,3,22,1,2010,33.45,21.55,62,29.87,10,5.2
167,7,3,23,1,2010,33.45,21.55,62,29.86,10,5.2
168,8,4,0,1,2010,33.1,21.9,64,29.82,10,0
169,8,4,1,1,2010,33.1,21.9,64,29.8,10,0
170,8,4,2,1,2010,33.1,23,66,29.8,6,4.6
171,8,4,3,1,2010,30.1,25.45,82.5,29.795,1.5,5.2
172,8,4,4,1,2010,29.425,26.475,88.5,29.7875,2.45,7.5
173,8,4,5,1,2010,28.9,25,85,29.75,6,6.9
174,8,4,6,1,2010,28.525,25.3,87.5,29.765,1.5,6.925
175,8,4,7,1,2010,28.525,25.75,89.25,29.7575,2.425,5.2
176,8,4,8,1,2010,30.1,25.8,84,29.73,4,5.2
177,8,4,9,1,2010,30.13333333,23.96666667,78,29.72666667,6,6.533333333
178,8,4,10,1,2010,30.43333333,24.56666667,78.66666667,29.72333333,6.5,4.633333333
179,8,4,11,1,2010,30.9,24.1,76,29.69,10,0
180,8,4,12,1,2010,32,23,69,29.67,10,6.9
181,8,4,13,1,2010,31.45,23,70.5,29.67,9.5,6.9
182,8,4,14,1,2010,32,22.65,68.5,29.68,9.5,9.2
183,8,4,15,1,2010,32.725,24.625,72.5,29.7,10,9.5
184,8,4,16,1,2010,31.45,19.15,60.5,29.735,10,9.8
185,8,4,17,1,2010,28.9,14,54,29.77,10,11.5
186,8,4,18,1,2010,26.1,10.9,53,29.81,10,18.4
187,8,4,19,1,2010,25,10,53,29.83,10,13.8
188,8,4,20,1,2010,24.1,10,55,29.84,10,16.1
189,8,4,21,1,2010,23,10.9,60,29.86,10,10.4
190,8,4,22,1,2010,23,10.9,60,29.88,10,10.4
191,8,4,23,1,2010,23,10,58,29.88,10,12.7
192,9,5,0,1,2010,21.9,10,60,29.9,10,10.4
193,9,5,1,1,2010,21.9,10,60,29.92,10,9.2
194,9,5,2,1,2010,21,10,63,29.94,10,6.9
195,9,5,3,1,2010,21,10,63,29.95,10,9.2
196,9,5,4,1,2010,21,9,60,29.96,10,12.7
197,9,5,5,1,2010,19.9,9,62,29.99,10,9.2
198,9,5,6,1,2010,19.9,8.1,60,30.01,10,13.8
199,9,5,7,1,2010,19.9,8.1,60,30.03,10,12.7
200,9,5,8,1,2010,21,8.1,57,30.05,10,9.2
201,9,5,9,1,2010,23,8.1,53,30.07,10,8.1
202,9,5,10,1,2010,24.1,7,48,30.07,10,5.8
203,9,5,11,1,2010,26.1,6.1,43,30.06,10,11.5
204,9,5,12,1,2010,28,5,38,30.04,10,9.2
205,9,5,13,1,2010,28.9,5,36,30.04,10,13.8
206,9,5,14,1,2010,30,3,32,30.05,10,5.8
207,9,5,15,1,2010,28.9,1.9,32,30.06,10,8.1
208,9,5,16,1,2010,28,1.9,33,30.09,10,9.2
209,9,5,17,1,2010,27,1,33,30.1,10,5.8
210,9,5,18,1,2010,25,0,34,30.13,10,6.9
211,9,5,19,1,2010,23,-0.9,35,30.15,10,6.9
212,9,5,20,1,2010,21.9,-0.9,37,30.16,10,8.1
213,9,5,21,1,2010,19.9,0,42,30.18,10,6.9
214,9,5,22,1,2010,19,0,43,30.19,10,6.9
215,9,5,23,1,2010,18,0,45,30.19,10,5.8
216,10,6,0,1,2010,17.1,0,47,30.19,10,11.5
217,10,6,1,1,2010,16,-0.9,47,30.2,10,5.8
218,10,6,2,1,2010,15.1,-0.9,49,30.21,10,5.8
219,10,6,3,1,2010,15.1,-0.9,49,30.21,10,8.1
220,10,6,4,1,2010,14,0,54,30.21,10,0
221,10,6,5,1,2010,14,0,54,30.22,10,3.5
222,10,6,6,1,2010,14,0,54,30.25,10,4.6
223,10,6,7,1,2010,15.1,1,54,30.27,10,6.9
224,10,6,8,1,2010,16,1,52,30.27,10,6.9
225,10,6,9,1,2010,18,1,48,30.28,10,6.9
226,10,6,10,1,2010,19.9,0,42,30.27,10,6.9
227,10,6,11,1,2010,23,1,39,30.25,10,4.6
228,10,6,12,1,2010,26.1,0,32,30.22,10,5.8
229,10,6,13,1,2010,27,1,33,30.19,10,9.2
230,10,6,14,1,2010,28,1,31,30.19,10,9.2
231,10,6,15,1,2010,28,1,31,30.19,10,11.5
232,10,6,16,1,2010,28,1,31,30.19,10,6.9
233,10,6,17,1,2010,27,1.9,34,30.21,10,12.7
234,10,6,18,1,2010,26.1,5,41,30.22,10,6.9
235,10,6,19,1,2010,25,5,43,30.23,10,6.9
236,10,6,20,1,2010,24.1,3.9,42,30.22,10,6.9
237,10,6,21,1,2010,24.1,5,44,30.2,10,5.8
238,10,6,22,1,2010,24.1,5,44,30.2,10,5.8
239,10,6,23,1,2010,24.1,6.1,46,30.19,10,8.1
240,11,0,0,1,2010,24.1,7,48,30.19,10,5.8
241,11,0,1,1,2010,23,8.1,53,30.17,10,8.1
242,11,0,2,1,2010,23,9,55,30.17,10,8.1
243,11,0,3,1,2010,21.9,9,58,30.16,10,6.9
244,11,0,4,1,2010,21.9,10,60,30.15,10,6.9
245,11,0,5,1,2010,21.9,9,58,30.17,10,10.4
246,11,0,6,1,2010,21.9,9,58,30.16,10,6.9
247,11,0,7,1,2010,21,9,60,30.16,10,8.1
248,11,0,8,1,2010,21.9,9,58,30.17,10,9.2
249,11,0,9,1,2010,24.1,9,53,30.17,10,5.8
250,11,0,10,1,2010,27,9,47,30.16,10,6.9
251,11,0,11,1,2010,28,8.1,43,30.12,10,8.1
252,11,0,12,1,2010,30,9,41,30.1,10,8.1
253,11,0,13,1,2010,30.9,9,40,30.08,10,9.2
254,11,0,14,1,2010,30,8.1,40,30.07,10,6.9
255,11,0,15,1,2010,30,8.1,40,30.07,10,9.2
256,11,0,16,1,2010,30,8.1,40,30.07,10,6.9
257,11,0,17,1,2010,30,10.9,45,30.08,10,6.9
258,11,0,18,1,2010,30,10.9,45,30.08,10,6.9
259,11,0,19,1,2010,30.9,10.9,43,30.09,10,3.5
260,11,0,20,1,2010,30.9,12.9,47,30.09,10,6.9
261,11,0,21,1,2010,30,12.9,49,30.09,10,4.6
262,11,0,22,1,2010,30,12.9,49,30.09,10,6.9
263,11,0,23,1,2010,30.9,12,46,30.08,10,6.9
264,12,1,0,1,2010,30,12,47,30.07,10,6.9
265,12,1,1,1,2010,30,10.9,45,30.06,10,4.6
266,12,1,2,1,2010,30,12,47,30.06,10,9.2
267,12,1,3,1,2010,28.9,12.9,51,30.05,10,6.9
268,12,1,4,1,2010,28.9,14,54,30.04,10,9.2
269,12,1,5,1,2010,28,16,61,30.06,10,6.9
270,12,1,6,1,2010,28,16,61,30.07,10,4.6
271,12,1,7,1,2010,28,16,61,30.08,10,9.2
272,12,1,8,1,2010,28,16,61,30.07,10,6.9
273,12,1,9,1,2010,28.9,16,58,30.07,10,10.4
274,12,1,10,1,2010,30,16,56,30.07,10,11.5
275,12,1,11,1,2010,32,16,52,30.04,10,10.4
276,12,1,12,1,2010,34,17.1,50,30.01,10,10.4
277,12,1,13,1,2010,34,17.1,50,29.97,10,6.9
278,12,1,14,1,2010,34,17.1,50,29.98,10,9.2
279,12,1,15,1,2010,34,17.1,50,29.99,10,10.4
280,12,1,16,1,2010,30.9,16,54,30.01,10,13.8
281,12,1,17,1,2010,30,15.1,54,30.04,10,9.2
282,12,1,18,1,2010,28,12.9,53,30.06,10,10.4
283,12,1,19,1,2010,27,12,53,30.07,10,11.5
284,12,1,20,1,2010,26.1,10,51,30.09,10,5.8
285,12,1,21,1,2010,25,10,53,30.1,10,17.3
286,12,1,22,1,2010,25,9,51,30.13,10,11.5
287,12,1,23,1,2010,24.1,8.1,51,30.14,10,11.5
288,13,2,0,1,2010,24.1,7,48,30.14,10,12.7
289,13,2,1,1,2010,24.1,9,53,30.14,10,11.5
290,13,2,2,1,2010,24.1,9,53,30.15,10,11.5
291,13,2,3,1,2010,24.1,10,55,30.16,10,8.1
292,13,2,4,1,2010,24.1,10.9,57,30.17,10,11.5
293,13,2,5,1,2010,24.1,10.9,57,30.17,10,10.4
294,13,2,6,1,2010,24.1,10.9,57,30.19,10,10.4
295,13,2,7,1,2010,24.1,10.9,57,30.2,10,11.5
296,13,2,8,1,2010,25,12,58,30.22,10,11.5
297,13,2,9,1,2010,27,12.9,56,30.22,10,6.9
298,13,2,10,1,2010,28.9,14,54,30.21,10,10.4
299,13,2,11,1,2010,30,14,51,30.18,10,6.9
300,13,2,12,1,2010,32,15.1,50,30.15,10,6.9
301,13,2,13,1,2010,33.1,16,50,30.14,10,8.1
302,13,2,14,1,2010,35.1,17.1,48,30.13,10,8.1
303,13,2,15,1,2010,35.1,17.1,48,30.12,10,5.8
304,13,2,16,1,2010,35.1,17.1,48,30.13,10,5.8
305,13,2,17,1,2010,35.1,18,50,30.14,10,3.5
306,13,2,18,1,2010,34,19,54,30.14,10,4.6
307,13,2,19,1,2010,33.1,18,54,30.15,10,4.6
308,13,2,20,1,2010,34,18,52,30.15,10,5.8
309,13,2,21,1,2010,34,18,52,30.16,10,6.9
310,13,2,22,1,2010,33.1,19,56,30.17,10,8.1
311,13,2,23,1,2010,33.1,19,56,30.18,10,0
312,14,3,0,1,2010,32,19,59,30.18,10,4.6
313,14,3,1,1,2010,32,18,56,30.19,10,5.8
314,14,3,2,1,2010,32,19,59,30.2,10,4.6
315,14,3,3,1,2010,32,19,59,30.2,10,5.8
316,14,3,4,1,2010,30.9,19,61,30.2,10,5.8
317,14,3,5,1,2010,30,18,61,30.21,10,5.8
318,14,3,6,1,2010,30,18,61,30.23,10,4.6
319,14,3,7,1,2010,30,18,61,30.23,10,0
320,14,3,8,1,2010,32,18,56,30.25,10,0
321,14,3,9,1,2010,33.1,18,54,30.27,10,0
322,14,3,10,1,2010,35.1,19,52,30.27,10,0
323,14,3,11,1,2010,37,19.9,50,30.25,10,0
324,14,3,12,1,2010,39.9,19,43,30.22,10,0
325,14,3,13,1,2010,39.9,18,41,30.21,10,8.1
326,14,3,14,1,2010,41,19,41,30.21,10,4.6
327,14,3,15,1,2010,39.9,19,43,30.21,10,0
328,14,3,16,1,2010,39.9,19.9,45,30.21,10,3.5
329,14,3,17,1,2010,37,23,57,30.22,10,5.8
330,14,3,18,1,2010,36,23,59,30.21,10,0
331,14,3,19,1,2010,37,25,62,30.22,10,3.5
332,14,3,20,1,2010,37.9,24.1,57,30.21,10,0
333,14,3,21,1,2010,37.9,21.9,53,30.21,10,4.6
334,14,3,22,1,2010,37.9,23,55,30.2,10,6.9
335,14,3,23,1,2010,37.9,21,51,30.19,10,6.9
336,15,4,0,1,2010,37.9,21,51,30.17,10,5.8
337,15,4,1,1,2010,37.9,19.9,48,30.16,10,9.2
338,15,4,2,1,2010,37.9,19.9,48,30.14,10,6.9
339,15,4,3,1,2010,37,19.9,50,30.13,10,6.9
340,15,4,4,1,2010,37,19.9,50,30.11,10,6.9
341,15,4,5,1,2010,37,19.9,50,30.11,10,3.5
342,15,4,6,1,2010,37,21,52,30.12,10,5.8
343,15,4,7,1,2010,37.9,19.9,48,30.12,10,10.4
344,15,4,8,1,2010,39.9,21,47,30.12,10,4.6
345,15,4,9,1,2010,41,21,45,30.13,10,5.8
346,15,4,10,1,2010,42.1,21,43,30.13,10,3.5
347,15,4,11,1,2010,44.1,21.9,42,30.1,10,5.8
348,15,4,12,1,2010,46,24.1,42,30.07,10,6.9
349,15,4,13,1,2010,48,28,46,30.06,10,10.4
350,15,4,14,1,2010,48.9,28,44,30.06,10,8.1
351,15,4,15,1,2010,46.9,28.9,50,30.09,10,12.7
352,15,4,16,1,2010,45,28.9,53,30.12,10,6.9
353,15,4,17,1,2010,45,28.9,53,30.15,10,10.4
354,15,4,18,1,2010,44.1,28.9,55,30.17,10,13.8
355,15,4,19,1,2010,44.1,28,53,30.18,10,8.1
356,15,4,20,1,2010,43,28,56,30.18,10,8.1
357,15,4,21,1,2010,42.1,28,58,30.2,10,9.2
358,15,4,22,1,2010,41,27,57,30.21,10,8.1
359,15,4,23,1,2010,41,28,60,30.2,10,9.2
360,16,5,0,1,2010,39.9,27,60,30.18,10,3.5
361,16,5,1,1,2010,39,27,62,30.2,10,5.8
362,16,5,2,1,2010,39,27,62,30.2,10,5.8
363,16,5,3,1,2010,39,27,62,30.2,10,5.8
364,16,5,4,1,2010,39,27,62,30.19,10,4.6
365,16,5,5,1,2010,39,27,62,30.19,10,8.1
366,16,5,6,1,2010,37.9,27,65,30.19,10,10.4
367,16,5,7,1,2010,39,27,62,30.2,10,8.1
368,16,5,8,1,2010,39,26.1,60,30.19,10,4.6
369,16,5,9,1,2010,39.9,26.1,58,30.2,10,9.2
370,16,5,10,1,2010,42.1,26.1,53,30.18,10,8.1
371,16,5,11,1,2010,44.1,26.1,49,30.16,10,10.4
372,16,5,12,1,2010,45,27,49,30.11,10,9.2
373,16,5,13,1,2010,46.9,27,46,30.09,10,6.9
374,16,5,14,1,2010,48.9,28.9,46,30.1,10,6.9
375,16,5,15,1,2010,48.9,28.9,46,30.1,10,9.2
376,16,5,16,1,2010,48,28,46,30.12,10,6.9
377,16,5,17,1,2010,46.9,28.9,50,30.12,10,6.9
378,16,5,18,1,2010,48,30,50,30.13,10,5.8
379,16,5,19,1,2010,46.9,30,52,30.14,10,5.8
380,16,5,20,1,2010,46,30,54,30.14,10,4.6
381,16,5,21,1,2010,44.1,28.9,55,30.15,10,0
382,16,5,22,1,2010,46,30,54,30.13,10,6.9
383,16,5,23,1,2010,44.1,30.9,60,30.13,10,0
384,17,6,0,1,2010,45,30.9,58,30.11,10,4.6
385,17,6,1,1,2010,43,32,65,30.1,10,0
386,17,6,2,1,2010,42.1,32,67,30.11,9,3.5
387,17,6,3,1,2010,39.9,32,73,30.12,8,0
388,17,6,4,1,2010,37.9,30.9,76,30.09,8,3.5
389,17,6,5,1,2010,37.9,28.9,70,30.1,10,9.2
390,17,6,6,1,2010,36,28,73,30.1,10,6.9
391,17,6,7,1,2010,37,28,70,30.11,10,9.2
392,17,6,8,1,2010,37,28,70,30.11,10,8.1
393,17,6,9,1,2010,37,30,76,30.11,10,10.4
394,17,6,10,1,2010,37.9,30,73,30.07,10,11.5
395,17,6,11,1,2010,37.9,30.9,76,30.03,10,9.2
396,17,6,12,1,2010,37,32,82,29.99,3,10.4
397,17,6,13,1,2010,35.8,33.9,93,29.97,2.15,6.9
398,17,6,14,1,2010,35.68,33.84,93,29.952,2.4,0
399,17,6,15,1,2010,35.7,33.85,93,29.905,2.875,0
400,17,6,16,1,2010,36,35.1,97,29.84,2.5,0
401,17,6,17,1,2010,36.66666667,35.73333333,96.33333333,29.81666667,2.666666667,0
402,17,6,18,1,2010,37.9,36,93,29.78,2.5,0
403,17,6,19,1,2010,37.65,35.8,93,29.76,3.5,0
404,17,6,20,1,2010,37.56666667,36.66666667,96.66666667,29.71666667,2.833333333,0
405,17,6,21,1,2010,39,37,93,29.62,3,0
406,17,6,22,1,2010,39,37.9,96,29.57,4,0
407,17,6,23,1,2010,39.9,37.9,93,29.53,4,0
408,18,0,0,1,2010,39.55,37.65,93,29.52,3.5,0
409,18,0,1,1,2010,39,37,93,29.48,6,0
410,18,0,2,1,2010,37.65,35.8,93,29.495,9.5,0
411,18,0,3,1,2010,38.2,35.8,91,29.52,10,0
412,18,0,4,1,2010,37.26666667,35.43333333,93,29.55333333,6,0
413,18,0,5,1,2010,37.2,35.35,93,29.585,7,0
414,18,0,6,1,2010,37.65,33.9,86.5,29.63,10,0
415,18,0,7,1,2010,38.2,33.45,83,29.65,10,0
416,18,0,8,1,2010,39.9,32,73,29.69,10,0
417,18,0,9,1,2010,43,33.1,68,29.73,10,0
418,18,0,10,1,2010,44.1,33.1,65,29.75,10,0
419,18,0,11,1,2010,46,34,63,29.74,10,0
420,18,0,12,1,2010,48,34,58,29.75,10,0
421,18,0,13,1,2010,48,34,58,29.76,10,0
422,18,0,14,1,2010,50,35.1,57,29.79,10,12.7
423,18,0,15,1,2010,48.9,33.1,54,29.81,10,0
424,18,0,16,1,2010,46,33.1,61,29.83,10,0
425,18,0,17,1,2010,46,33.1,61,29.86,10,0
426,18,0,18,1,2010,46,34,63,29.88,10,0
427,18,0,19,1,2010,46,34,63,29.9,10,0
428,18,0,20,1,2010,46,34,63,29.91,10,0
429,18,0,21,1,2010,46,34,63,29.94,10,0
430,18,0,22,1,2010,44.1,35.1,71,29.94,10,0
431,18,0,23,1,2010,44.1,35.1,71,29.92,10,0
432,19,1,0,1,2010,44.1,35.1,71,29.92,10,0
433,19,1,1,1,2010,44.1,35.1,71,29.94,10,0
434,19,1,2,1,2010,43,35.1,74,29.93,10,0
435,19,1,3,1,2010,42.1,34,73,29.92,10,0
436,19,1,4,1,2010,42.1,35.1,76,29.91,10,0
437,19,1,5,1,2010,42.1,36,79,29.92,10,0
438,19,1,6,1,2010,41.55,35.8,80,29.93,10,0
439,19,1,7,1,2010,41,35.1,79,29.92,10,0
440,19,1,8,1,2010,42.9,35.35,75,29.94,10,0
441,19,1,9,1,2010,44.35,33.45,65.5,29.935,10,4.05
442,19,1,10,1,2010,46,34,63,29.91,10,0
443,19,1,11,1,2010,46.9,34,61,29.88,10,0
444,19,1,12,1,2010,48,34,58,29.85,10,4.6
445,19,1,13,1,2010,46.9,35.1,63,29.83,8,4.6
